"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\book-review\resources\views\welcome.blade.php", "PHP", 0, 155, 0, 0, 0, 0, 0, 0, 0, 22, 177
"c:\xampp\htdocs\book-review\routes\api.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\xampp\htdocs\book-review\routes\console.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\xampp\htdocs\book-review\routes\web.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 4, 12, 39
"c:\xampp\htdocs\book-review\tailwind.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\xampp\htdocs\book-review\tests\Feature\ExampleTest.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\book-review\tests\Pest.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 32, 7, 48
"c:\xampp\htdocs\book-review\tests\TestCase.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\book-review\tests\Unit\ExampleTest.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\book-review\vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 135, 1778, 52, 21, 17966, 2853, 25, 31, 1262, 840, 24963
